Date,home,away,Home Score,Away Score,result,Tries scored H,Tries scored A,Neutral venue,Crowds
01/01/2001,Pau,Glasgow,44,16,Home,,,0,1
01/01/2001,Leicester,Pontypridd,27,19,Home,,,0,1
01/01/2001,Pau,Leicester,3,20,Away,,,0,1
01/01/2001,Glasgow,Pontypridd,25,23,Home,,,0,1
01/01/2001,Leicester,Glasgow,41,26,Home,,,0,1
01/01/2001,Pontypridd,Pau,27,31,Away,,,0,1
01/01/2001,Gloucester,Cardiff Blues,21,15,Home,,,0,1
01/01/2001,Stade Francais,Pau,36,19,Home,,,0,1
01/01/2001,Leicester,Swansea,41,10,Home,,,0,1
01/01/2001,Munster,Biarritz,38,29,Home,,,0,1
01/01/2001,Stade Francais,Munster,16,15,Home,,,0,1
01/01/2001,Leicester,Gloucester,19,15,Home,,,0,1
01/01/2001,Stade Francais,Leicester,30,34,Away,,,1,1
28/09/2001,Cardiff Blues,Northampton,25,17,Home,,,0,1
28/09/2001,Glasgow,Montferrand,19,19,Draw,,,0,1
28/09/2001,Leinster,Toulouse,40,10,Home,,,0,1
29/09/2001,Biarritz,Bath,6,14,Away,,,0,1
29/09/2001,Bridgend,Harlequins,24,30,Away,,,0,1
29/09/2001,Leicester,Scarlets,12,9,Home,,,0,1
29/09/2001,Munster,Castres,28,23,Home,,,0,1
29/09/2001,Newcastle,Newport,21,34,Away,,,0,1
29/09/2001,Perpignan,Calvisano,56,3,Home,,,0,1
29/09/2001,Swansea,Edinburgh,21,16,Home,,,0,1
29/09/2001,Treviso,Ulster,28,33,Away,,,0,1
30/09/2001,Wasps,Stade Francais,19,25,Away,,,0,1
05/10/2001,Edinburgh,Biarritz,6,6,Draw,,,0,1
05/10/2001,Leinster,Newcastle,28,9,Home,,,0,1
05/10/2001,Scarlets,Perpignan,20,6,Home,,,0,1
05/10/2001,Ulster,Wasps,42,19,Home,,,0,1
06/10/2001,Bath,Swansea,38,9,Home,,,0,1
06/10/2001,Castres,Bridgend,35,23,Home,,,0,1
06/10/2001,Harlequins,Munster,8,24,Away,,,0,1
06/10/2001,Montferrand,Cardiff Blues,37,10,Home,,,0,1
06/10/2001,Newport,Toulouse,21,20,Home,,,0,1
06/10/2001,Stade Francais,Treviso,42,9,Home,,,0,1
07/10/2001,Calvisano,Leicester,3,37,Away,,,0,1
07/10/2001,Northampton,Glasgow,30,9,Home,,,0,1
26/10/2001,Bridgend,Munster,12,16,Away,,,0,1
26/10/2001,Leinster,Newport,21,6,Home,,,0,1
27/10/2001,Cardiff Blues,Glasgow,46,7,Home,,,0,1
27/10/2001,Edinburgh,Bath,6,37,Away,,,0,1
27/10/2001,Northampton,Montferrand,15,21,Away,,,0,1
27/10/2001,Perpignan,Leicester,30,31,Away,,,0,1
27/10/2001,Stade Francais,Ulster,40,11,Home,,,0,1
27/10/2001,Swansea,Biarritz,15,10,Home,,,0,1
28/10/2001,Calvisano,Scarlets,13,31,Away,,,0,1
28/10/2001,Harlequins,Castres,17,39,Away,,,0,1
28/10/2001,Toulouse,Newcastle,33,13,Home,,,0,1
28/10/2001,Wasps,Treviso,29,24,Home,,,0,1
02/11/2001,Newport,Leinster,21,26,Away,,,0,1
02/11/2001,Ulster,Stade Francais,19,16,Home,,,0,1
03/11/2001,Bath,Edinburgh,17,10,Home,,,0,1
03/11/2001,Biarritz,Swansea,24,15,Home,,,0,1
03/11/2001,Castres,Harlequins,24,18,Home,,,0,1
03/11/2001,Leicester,Perpignan,54,15,Home,,,0,1
03/11/2001,Montferrand,Northampton,50,17,Home,,,0,1
03/11/2001,Munster,Bridgend,40,6,Home,,,0,1
03/11/2001,Newcastle,Toulouse,42,9,Home,,,0,1
03/11/2001,Scarlets,Calvisano,93,14,Home,,,0,1
03/11/2001,Treviso,Wasps,32,17,Home,,,0,1
04/11/2001,Glasgow,Cardiff Blues,47,32,Home,,,0,1
04/01/2002,Glasgow,Northampton,31,27,Home,,,0,1
04/01/2002,Perpignan,Scarlets,42,10,Home,,,0,1
05/01/2002,Biarritz,Edinburgh,45,14,Home,,,0,1
05/01/2002,Bridgend,Castres,26,37,Away,,,0,1
05/01/2002,Cardiff Blues,Montferrand,26,20,Home,,,0,1
05/01/2002,Leicester,Calvisano,29,7,Home,,,0,1
05/01/2002,Munster,Harlequins,51,17,Home,,,0,1
05/01/2002,Swansea,Bath,12,24,Away,,,0,1
05/01/2002,Toulouse,Newport,36,23,Home,,,0,1
05/01/2002,Treviso,Stade Francais,6,59,Away,,,0,1
06/01/2002,Wasps,Ulster,36,32,Home,,,0,1
08/01/2002,Newcastle,Leinster,15,17,Away,,,0,1
11/01/2002,Edinburgh,Swansea,30,20,Home,,,0,1
11/01/2002,Newport,Newcastle,53,17,Home,,,0,1
11/01/2002,Ulster,Treviso,59,3,Home,,,0,1
12/01/2002,Bath,Biarritz,31,13,Home,,,0,1
12/01/2002,Calvisano,Perpignan,18,33,Away,,,0,1
12/01/2002,Castres,Munster,21,13,Home,,,0,1
12/01/2002,Harlequins,Bridgend,29,25,Home,,,0,1
12/01/2002,Northampton,Cardiff Blues,26,15,Home,,,0,1
12/01/2002,Scarlets,Leicester,24,12,Home,,,0,1
12/01/2002,Stade Francais,Wasps,31,0,Home,,,0,1
13/01/2002,Montferrand,Glasgow,44,13,Home,,,0,1
13/01/2002,Toulouse,Leinster,43,7,Home,,,0,1
26/01/2002,Bath,Scarlets,10,27,Away,,,0,1
26/01/2002,Castres,Montferrand,22,21,Home,,,0,1
26/01/2002,Stade Francais,Munster,14,16,Away,,,0,1
27/01/2002,Leicester,Leinster,29,18,Home,,,0,1
27/04/2002,Castres,Munster,17,25,Away,,,0,1
28/04/2002,Leicester,Scarlets,13,12,Home,,,0,1
25/05/2002,Leicester,Munster,15,9,Home,,,0,1
11/10/2002,Edinburgh,Newport,27,17,Home,,,0,1
11/10/2002,Leinster,Bristol,29,23,Home,,,0,1
11/10/2002,Neath,Leicester,16,16,Draw,,,0,1
11/10/2002,Sale Sharks,Bourgoin,18,24,Away,,,0,1
12/10/2002,Calvisano,Beziers,16,32,Away,,,0,1
12/10/2002,Cardiff Blues,Biarritz,15,26,Away,,,0,1
12/10/2002,Gloucester,Munster,35,16,Home,,,0,1
12/10/2002,Montferrand,Swansea,47,12,Home,,,0,1
12/10/2002,Perpignan,Viadana,46,27,Home,,,0,1
12/10/2002,Scarlets,Glasgow,45,15,Home,,,0,1
12/10/2002,Toulouse,London Irish,28,23,Home,,,0,1
13/10/2002,Northampton,Ulster,32,9,Home,,,0,1
14/10/2002,Viadana,Munster,22,25,Away,,,0,1
18/10/2002,Bourgoin,Scarlets,54,38,Home,,,0,1
18/10/2002,Glasgow,Sale Sharks,26,14,Home,,,0,1
